contig.name,length,accession,annotation,percent.identity,match.length,evalue,kingdom,virus,taxonomy.number,virus.name,taxonomy,taxonomy.pattern,P18,W3,W64,Y14,Y17,Y18,Y25,Y41,Y52,Y70,Y7
k141_473383,2230,YP_004300774.1,YP_004300774.1 baseplate hub [Acinetobacter phage 133],55.4,287,3.25E-96,Viruses,Acinetobacter phage 133,2919552,Acinetobacter phage 133,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Straboviridae|Tevenvirinae|Acinetobacter virus 133|Acinetobacter phage 133,no rank|superkingdom|clade|kingdom|phylum|class|family|subfamily|species|no rank,1538,284,0,0,72,0,196,67,0,326,0
k141_573348,1104,YP_004300629.1,YP_004300629.1 DNA primase [Acinetobacter phage 133],51.1,223,7.85E-71,Viruses,Acinetobacter phage 133,2919552,Acinetobacter phage 133,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Straboviridae|Tevenvirinae|Acinetobacter virus 133|Acinetobacter phage 133,no rank|superkingdom|clade|kingdom|phylum|class|family|subfamily|species|no rank,460,0,358,0,0,0,28,18,0,0,0
k141_584867,760,YP_004300774.1,YP_004300774.1 baseplate hub [Acinetobacter phage 133],40.7,246,9.99E-40,Viruses,Acinetobacter phage 133,2919552,Acinetobacter phage 133,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Straboviridae|Tevenvirinae|Acinetobacter virus 133|Acinetobacter phage 133,no rank|superkingdom|clade|kingdom|phylum|class|family|subfamily|species|no rank,278,0,0,0,50,0,14,6,0,0,0
k141_40263,2918,UNI74684.1,UNI74684.1 rIIB protector from prophage-induced lysis [Acinetobacter phage AB-Navy4],37.2,419,2.26E-73,Viruses,Acinetobacter phage AB-Navy4,2920928,Acinetobacter phage AB-Navy4,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Straboviridae|Twarogvirinae|Lazarusvirus|Lazarusvirus kimel|Acinetobacter phage AB-Navy4,no rank|superkingdom|clade|kingdom|phylum|class|family|subfamily|genus|species|no rank,1602,873,1290,0,242,0,444,82,0,946,0
k141_54108,1516,UNI74693.1,UNI74693.1 RNA ligase II [Acinetobacter phage AB-Navy97],49.2,303,4.03E-79,Viruses,Acinetobacter phage AB-Navy97,2920930,Acinetobacter phage AB-Navy97,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Straboviridae|Twarogvirinae|Lazarusvirus|unclassified Lazarusvirus|Acinetobacter phage AB-Navy97,no rank|superkingdom|clade|kingdom|phylum|class|family|subfamily|genus|no rank|species,960,0,620,0,64,0,126,25,0,378,0
k141_3580,828,YP_004009433.1,YP_004009433.1 gp41 replication and recombination DNA helicase [Acinetobacter phage Ac42],63.8,276,1.64E-119,Viruses,Acinetobacter phage Ac42,762660,Acinetobacter phage Ac42,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Straboviridae|Twarogvirinae|unclassified Twarogvirinae|Acinetobacter phage Ac42,no rank|superkingdom|clade|kingdom|phylum|class|family|subfamily|no rank|species,278,16,298,0,0,0,112,8,0,290,0
k141_363938,10615,YP_004009530.1,YP_004009530.1 baseplate wedge subunit [Acinetobacter phage Ac42],52.1,603,2.10E-209,Viruses,Acinetobacter phage Ac42,762660,Acinetobacter phage Ac42,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Straboviridae|Twarogvirinae|unclassified Twarogvirinae|Acinetobacter phage Ac42,no rank|superkingdom|clade|kingdom|phylum|class|family|subfamily|no rank|species,7472,1930,3316,0,287,0,616,242,0,3978,0
k141_595133,1860,YP_004009560.1,YP_004009560.1 baseplate tail tube cap [Acinetobacter phage Ac42],51.8,363,4.63E-118,Viruses,Acinetobacter phage Ac42,762660,Acinetobacter phage Ac42,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Straboviridae|Twarogvirinae|unclassified Twarogvirinae|Acinetobacter phage Ac42,no rank|superkingdom|clade|kingdom|phylum|class|family|subfamily|no rank|species,522,0,0,0,0,0,2,47,0,0,0
k141_189722,1320,YP_004009703.1,YP_004009703.1 DNA polymerase [Acinetobacter phage Acj61],68.4,212,3.02E-95,Viruses,Acinetobacter phage Acj61,760732,Acinetobacter phage Acj61,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Straboviridae|Twarogvirinae|Lasallevirus|Acinetobacter virus Acj61|Acinetobacter phage Acj61,no rank|superkingdom|clade|kingdom|phylum|class|family|subfamily|genus|species|no rank,322,0,0,0,62,0,82,19,0,246,0
k141_280199,8688,YP_004009793.1,YP_004009793.1 tail sheath [Acinetobacter phage Acj61],68.1,631,1.62E-288,Viruses,Acinetobacter phage Acj61,760732,Acinetobacter phage Acj61,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Straboviridae|Twarogvirinae|Lasallevirus|Acinetobacter virus Acj61|Acinetobacter phage Acj61,no rank|superkingdom|clade|kingdom|phylum|class|family|subfamily|genus|species|no rank,29196,4679,11914,0,1093,8,2211,884,0,9712,0
k141_325763,325,YP_004009850.1,YP_004009850.1 tail fiber protein [Acinetobacter phage Acj61],57.5,73,4.08E-11,Viruses,Acinetobacter phage Acj61,760732,Acinetobacter phage Acj61,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Straboviridae|Twarogvirinae|Lasallevirus|Acinetobacter virus Acj61|Acinetobacter phage Acj61,no rank|superkingdom|clade|kingdom|phylum|class|family|subfamily|genus|species|no rank,0,0,0,0,0,0,0,14,0,0,0
k141_404683,2926,YP_004009771.1,YP_004009771.1 gp3 tail completion and sheath stabilizer protein [Acinetobacter phage Acj61],62.3,191,2.15E-72,Viruses,Acinetobacter phage Acj61,760732,Acinetobacter phage Acj61,root|Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Straboviridae|Twarogvirinae|Lasallevirus|Acinetobacter virus Acj61|Acinetobacter phage Acj61,no rank|superkingdom|clade|kingdom|phylum|class|family|subfamily|genus|species|no rank,4221,1204,1912,2,214,0,872,240,0,5458,0
